pack_id,brand_layer_dir,suggested_layer,confidence,suggestion_rationale,needs_human_review,reviewer_decision,final_layer,production_tier,default_call_pool,review_notes
KP-training_unit-product-review-anti-filter-pledge,domain_general,L3,medium,"L3 词 ≥2: ['镜头', '口播']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-product-review-fabric-detective-spec-party,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-training_unit-relational-witness-over-monologue,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-role-binding-frontline-priority,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-role-material-five-kinds-minimum,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-role-profile-required-skills-binding,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-roleprofile-not-speaking-shell,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-sample-worker-rework-as-judgment,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-shared-layer-registration-not-rewrite,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-silence-as-pattern-interrupt,domain_general,L3,medium,"L3 词 ≥2: ['口播', '解说']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-sop-asmr-procedural-memory,domain_general,L2,high,"yaml 含 play_card/tier 字段：['玩法', '玩法卡', 'play_card']",false,accept,L2,instant,true,确认L2玩法层pack；补齐生产调用字段
KP-training_unit-standard-action-vs-judgment-skill,domain_general,L3,medium,"L3 词 ≥2: ['口播', '动作']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-store-manager-rhythm-first,domain_general,L3,medium,"L3 词 ≥2: ['动作', '店员']",false,accept,L3,,,auto-accept (high confidence)
KP-training_unit-styling-error-top-priority-eight,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-substitution-honest-disclosure,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-tactile-cue-language-online-compensation,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-talent-showcase-rescue-not-show-off,domain_general,L2,medium,"L2 词 ≥2: ['玩法', '玩法卡']",false,accept,L2,,,auto-accept (high confidence)
KP-training_unit-try-on-guidance-one-main-one-backup,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-training_unit-warehouse-supervisor-fact-not-promise,domain_general,L1,high,无 L2/L3 强信号，默认 L1,false,accept,L1,,,auto-accept (high confidence)
KP-service_judgment-product-review-concerns-clearance-on-spot-faye-positioning,needs_review,L2,high,yaml 含 play_card/tier 字段：['play_card'],false,override,L1,,,玩法治理/字段壳规则，不是单张玩法卡，回标L1
