semantic_id,owner_field,definition,examples_json,brand_layer,source_pack_id
SM-KP-product_attribute-content-type-north-star-outfit-of-the-day-ootd_north_star,north_star,OOTD ContentType 北极星：穿搭即决策 / 路线-身份-时间-情绪四种叙事；与商业化硬广反向把守,,domain_general,KP-product_attribute-content-type-north-star-outfit-of-the-day
SM-KP-product_attribute-content-type-north-star-personal-vlog-pv_north_star,north_star,personal_vlog 北极星：陪伴感 + 连续性 + 真实波动；与 daily_fragment 边界 = 连续 vs 不连续,,domain_general,KP-product_attribute-content-type-north-star-personal-vlog
SM-KP-product_attribute-content-type-north-star-role-work-vlog-rwv_north_star,north_star,role_work_vlog 北极星：岗位的智力和手感 / 体感信任；与 founder_ip 边界 = 重心是岗位 vs 人,,domain_general,KP-product_attribute-content-type-north-star-role-work-vlog
SM-KP-service_judgment-store-daily-three-required-elements-three_axis,routing_gate,store_daily 三选二硬边界：店铺空间≥50% / 门店物件≥3 次 / 真实零售运营动作≥1,,domain_general,KP-service_judgment-store-daily-three-required-elements
SM-KP-training_unit-emotion-expression-9-ai-tone-banlist-policy,ai_tone_negative_match,α 层 9 种 AI 腔负面样板库：情绪敏感 CT 生成发布前的一票否决清单；命中任一项必须重写不许微调,,domain_general,KP-training_unit-emotion-expression-9-ai-tone-banlist
SM-KP-training_unit-emotion-expression-truth-3-questions-prepublish-anchor,truth_3_questions,真实感三问 = 画面锚点（真实场景）+ 情感锚点（此刻真实）+ 外部锚点（可验证日期/地点/物件）；三问任一答'不'即不应发布为 emotion_expression,,domain_general,KP-training_unit-emotion-expression-truth-3-questions-prepublish
SM-KP-training_unit-event-documentary-failure-perspective-policy,failure_perspective_allowed,event_documentary 允许并推崇失败视角作为 C3 突破性玩法；与 founder_ip 反向透明 + role_work_vlog 岗位失误博物馆构成企业叙事类失败叙事三件套,,domain_general,KP-training_unit-event-documentary-failure-perspective
SM-KP-product_attribute-content-type-north-star-founder-ip-fi_north_star,north_star,founder_ip ContentType 的北极星：判断+代价+信任预支 / 不像老板在卖货——服装行业 C1 强默认禁用（鸡汤口播/流水账/成功拼贴/工厂巡视/对镜穿搭）的判型锚点,,domain_general,KP-product_attribute-content-type-north-star-founder-ip
SM-KP-product_attribute-content-type-north-star-knowledge-sharing-ks_north_star,north_star,knowledge_sharing ContentType 的北极星：顿悟+信任 / 被真实懂的人讲明白 / 现场证据+为什么是你来讲——主流禁用 3 类（站桩 3 点 / PPT 大字报 / 耸动钩子）的判型锚点,,domain_general,KP-product_attribute-content-type-north-star-knowledge-sharing
SM-KP-product_attribute-content-type-north-star-talent-showcase-ts_north_star,north_star,talent_showcase ContentType 的北极星：能力有温度 / 留下你这个人 / 值得追随——主流禁用两类（正面站桩展示完成品 / 卡点混剪炫技）的判型锚点,,domain_general,KP-product_attribute-content-type-north-star-talent-showcase
SM-KP-product_attribute-content-type-north-star-training-material-tm_north_star,north_star,training_material ContentType 的北极星：员工下次真碰到场景时脑子里自动跳出正确动作（兵团向 / 行为改变 / 记忆保持）,,domain_general,KP-product_attribute-content-type-north-star-training-material
SM-KP-product_attribute-content-type-north-star-training-material-audience_orientation,audience_orientation,ContentType 的观众朝向：consumer-facing（消费者向，前 17 份）/ army-facing（兵团向 / 员工/加盟商/店长，仅 training_material）,,domain_general,KP-product_attribute-content-type-north-star-training-material
SM-KP-styling_rule-old-sample-as-error-archive-archive_metaphor,founder_ip_signature_play,旧样衣 = 人格化错误档案 / 服装行业 founder_ip 独占叙事钩子；优先级高于通用决策日记,,domain_general,KP-styling_rule-old-sample-as-error-archive
SM-KP-training_unit-event-documentary-long-term-tier-discipline-tier,play_card_tier,玩法分级：long_term（单条成片 ≤ 4 小时但素材采集跨日，默认调用池）vs brand_tier（跨地区采集，超个人基线，仅品牌模式）vs 普通（默认 4 小时内完成）,,domain_general,KP-training_unit-event-documentary-long-term-tier-discipline
SM-KP-humor-content-brand-tone-gate-policy,brand_tone_gate,玩法卡级品牌调性闸门：玩法卡带'🎨 品牌调性提示'行则执行调性匹配；humor_content 自嘲方向不分级但具体拟人化形式对调性敏感,,domain_general,KP-training_unit-humor-content-brand-tone-gate-for-puppetry
SM-KP-humor-content-clothing-as-persona-switch-meaning,clothing_role_in_humor,humor_content 中服装的角色 = 人格开关（社会身份切换器）而非美化道具；服装行业独占钩子,,domain_general,KP-training_unit-humor-content-clothing-as-persona-switch
SM-KP-lifestyle-expression-old-defines-premium-meaning,premium_meaning_in_lifestyle,lifestyle_expression 中'高级'的定义 = 陪伴 ≠ 更新；服装在此是'陪伴的证据'/'旧物故事'载体，可直接对接反消费主义窗口,,domain_general,KP-training_unit-lifestyle-expression-old-defines-premium
SM-KP-lifestyle-expression-values-via-rejection-policy,lifestyle_narrative_path,lifestyle_expression 突破性叙事路径 = 通过拒绝动作出现价值观；服装在此是'价值观筛子'/'行为接口'而非搭配标签,,domain_general,KP-training_unit-lifestyle-expression-values-via-rejection
SM-KP-process-trace-stop-the-bad-one-builds-trust-meaning,process_trace_trust_path,process_trace 信任建立路径 = 用淘汰建立信任（拍被拦下的那一件）/ 不是用严格把控空话；北极星 = 我愿意相信你没有骗我,,domain_general,KP-training_unit-process-trace-stop-the-bad-one-builds-trust
SM-KP-talent-showcase-rescue-meaning,talent_role_in_showcase,talent_showcase 中才艺的角色 = 救场工具 / 关系外溢 / 社交媒介；不是展示标签 / 炫技 / 个人封闭,,domain_general,KP-training_unit-talent-showcase-rescue-not-show-off
SM-KP-product_attribute-content-type-north-star-emotion-expression-ee_north_star,north_star,emotion_expression ContentType 的北极星：这感觉你居然也知道 / 没说出口的感受被轻轻接住——主流三类强禁用（怼脸独白+伤感BGM / 鸡汤卡片体 / 哭腔崩溃表演）的判型锚点,,domain_general,KP-product_attribute-content-type-north-star-emotion-expression
SM-KP-product_attribute-content-type-north-star-emotion-expression-immunity,failure_immunity_level,ContentType 的 AI 免疫力等级：emotion_expression / founder_ip 为 weakest（强默认禁用 C1 + 真实感三问预发布）,,domain_general,KP-product_attribute-content-type-north-star-emotion-expression
SM-KP-product_attribute-content-type-north-star-process-trace-pt_north_star,north_star,process_trace 北极星：我愿意相信你没有骗我 / 一连串不能偷懒的动作——主流禁用 4 类（工厂参观/步骤说明书/产地口号/面料对比模板）的判型锚点；反走进工厂的宣传片,,domain_general,KP-product_attribute-content-type-north-star-process-trace
SM-KP-product_attribute-content-type-north-star-product-copy-general-pcg_north_star,north_star,product_copy_general 北极星：在脑子里提前穿过一次/犹豫过一次/相信过一次——文字型 CT，30 秒分镜按 α 改良版读作文案执行骨架四段式；C1 禁用形容词三连/口号/FABE/小说体/促销链,,domain_general,KP-product_attribute-content-type-north-star-product-copy-general
SM-KP-product_attribute-content-type-north-star-product-journey-pj_north_star,north_star,product_journey 北极星：差一点做成别的样子 / 判断轨迹比结论更有说服力——主流禁用 3 类（魔术转场/灵感说明书/上市预热）的判型锚点；反从草图到成品的爽片,,domain_general,KP-product_attribute-content-type-north-star-product-journey
SM-KP-product_attribute-content-type-north-star-product-review-pr_north_star,north_star,product_review ContentType 的北极星：提前穿过/犹豫过/相信过——风险解除 + 体感证据 + 顾虑同盟；主流禁用三类（转圈念优缺点 / 7 秒换装 / 开箱即结论）的判型锚点,,domain_general,KP-product_attribute-content-type-north-star-product-review
SM-KP-product_attribute-pcg-five-voice-archetypes-archetype_field,voice_archetype,PCG 文案声音原型字段 5 取值：主理人叙事体 / 诗意留白体 / 工艺叙述体 / 反讽诚实体 / 判断同盟体；超出走共享层 §H.3 豁免提案,,domain_general,KP-product_attribute-pcg-five-voice-archetypes
SM-KP-styling_rule-pcg-moment-over-category-moment_first,pcg_first_screen_structure,PCG 首屏纪律：先给时间戳+具体动作（时刻），下翻才给品类名和参数；服装独占的'按时刻卖'结构,,domain_general,KP-styling_rule-pcg-moment-over-category
SM-KP-styling_rule-process-trace-rejected-garment-rejected_metaphor,process_trace_signature_play,被拦下的成衣 = 品牌边界感的具象证据；用淘汰建立信任比展示流程更稀缺,,domain_general,KP-styling_rule-process-trace-rejected-garment
SM-KP-styling_rule-process-trace-single-hard-fake-step-single_node,process_trace_node_priority,服装 process_trace 单点深拍纪律：选对花 / 缝线 / 回弹 / 肩线 / QC 拦下中最难伪装的一个节点 30 秒，不贪完整,,domain_general,KP-styling_rule-process-trace-single-hard-fake-step
SM-KP-styling_rule-product-journey-sample-version-tree-version_tree,product_journey_signature_play,样衣版本树 = 服装 product_journey 独占叙事；轨迹比结论更有说服力,,domain_general,KP-styling_rule-product-journey-sample-version-tree
SM-KP-training_unit-knowledge-not-teacher-but-event-event_speaking,ks_open_structure,KS 开场纪律：知识不是老师在讲而是事故在发言；先看到后果再倒回拆原因,,domain_general,KP-training_unit-knowledge-not-teacher-but-event
SM-KP-training_unit-product-review-anti-filter-pledge-pledge,product_review_baseline,反滤镜宣言四项（原相机/自然光/不拉腿/不美颜）= product_review 进阶档信任地基；缺失则下游体感测评失效,,domain_general,KP-training_unit-product-review-anti-filter-pledge
SM-KP-styling_rule-product-journey-vs-process-trace-boundary-disambig,north_star,product_journey vs process_trace 边界判定：判断链 vs 物理链；按叙事重心/关键证据/时间维度/反套路 4 维度二选一不混拍,,domain_general,KP-styling_rule-product-journey-vs-process-trace-boundary
SM-KP-product_attribute-compatibility-matrix-two-layer-truth-source-layering,COMPATIBLE_WITH.truth_source_layer,兼容矩阵真源分层：Persona×CT 是唯一新增真源边；Platform 维度承接系统层 SUPPORTS_PLATFORM 不新建边；三维组合是派生视图不写入图谱,,domain_general,KP-product_attribute-compatibility-matrix-two-layer-truth-source
SM-KP-product_attribute-compatibility-edge-support-risk-reason-shell-support-vs-risk-orthogonal,COMPATIBLE_WITH.support_x_risk,support 表达系统能力（能不能给），risk 表达业务风险（要不要提示）；两维度正交，禁止用 support 取代 risk 或反之,,domain_general,KP-product_attribute-compatibility-edge-support-risk-reason-shell
SM-KP-product_attribute-compatibility-derived-view-combination-formula-short-board,PersonaContentTypePlatformDerivedView.display_tier,派生展示档由 support×tier 组合短板决定；risk 始终从 Persona×CT 真源独立继承不被平台 tier 覆盖,,domain_general,KP-product_attribute-compatibility-derived-view-combination-formula
SM-KP-product_attribute-compat-matrix-truth-source-layering-truth-source-set,COMPATIBLE_WITH,Persona×ContentType 兼容矩阵的唯一真源边；Persona×Platform 与 ContentType×Platform 严禁建为真源边；Persona×CT×Platform/Channel 是派生视图不入图谱,,domain_general,KP-product_attribute-compat-matrix-truth-source-layering
SM-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel-platformtone,PlatformTone,公域分发位：有算法分发，内容经冷启池/标签/人群推送进入受众视野；首批承载小红书/抖音/视频号/快手/公众号/B站/微博,,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
SM-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel-privateoutletchannel,PrivateOutletChannel,私域出口位：无算法分发，靠强关系链触达；首批承载微信朋友圈/微信群/微信私信,,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
SM-KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel-no-merge,parallel_typing,两类对象类型在 schema 上必须并列；不合并为单一 Platform 实体；不引入 DistributionTarget 抽象统称替代,,domain_general,KP-product_attribute-platform-tone-vs-private-outlet-channel-parallel
SM-KP-service_judgment-derived-view-risk-inherits-from-source-edge-risk_propagation,derived_view_risk,派生视图风险位 = 真源边 risk 原值；平台 tier 不参与风险计算；support 与 risk 是两个正交维度,,domain_general,KP-service_judgment-derived-view-risk-inherits-from-source-edge
SM-KP-training_unit-behind-scenes-near-disaster-narrative-arc,bts_narrative_arc,BTS 进阶档叙事弧 = 问题出现 → 临场调整 → 最终镜头三段式；非翻车流水账,,domain_general,KP-training_unit-behind-scenes-near-disaster-narrative
SM-KP-training_unit-ootd-anti-hard-ad-discipline-three-bans,ootd_baseline,OOTD 三禁纪律：禁 SKU 字幕清单（E4）/ 禁强口播购买指令（E6）/ 禁'显瘦高级氛围感'空词（E3）—— 调用门禁，违反任一条直接判 C1 默认禁用,,domain_general,KP-training_unit-ootd-anti-hard-ad-discipline
SM-KP-training_unit-product-review-fabric-detective-spec-party-evidence-chain,product_review_baseline,面料侦探五步证据链：洗标+成分字幕 → 纱线特写 → 揉搓回弹+计时 → 同价位对比 → 收口翻洗标；术语写字幕，不依赖口播感染力,,domain_general,KP-training_unit-product-review-fabric-detective-spec-party
