rule_id,rule_type,applicable_when,success_scenario,flip_scenario,alternative_boundary,brand_layer,source_pack_id
RL-KP-service_judgment-weekend-social,vibe_first_then_garment,周末/节前接客；带社交目的的客流,顾客在成套位前停留并主动问，整套或主件带走，回头率高,"把周末客按通勤客推（强调耐穿百搭），顾客觉得""和我场景没关系""，礼貌走人","库存断码 → 同气质换款（松弛仍是松弛，精致仍是精致）；顾客犹豫第二套 → 增加""拍照效果""""场合预演""话术，不增 SKU 数",domain_general,KP-service_judgment-weekend-social
RL-KP-training_unit-greeting-format-lock,training_format_lock,10 类接客场景与 5 类跨切裁决的培训,员工在真实接客中自动跳出正确动作，复购与转化指标改善,用长视频/话术稿/PPT 培训，员工背得出但用不出，接客现场仍按惯性走,4 种格式之外的新格式提案 → 进 unprocessable_register 分类 needs_human_judgment；紧急上线场景（如新政策当天落地）→ 用 pre_shift_micro_coaching 优先承接,domain_general,KP-training_unit-greeting-format-lock
RL-KP-service_judgment-private-outlet-needs-sales-associate-base,persona_roleprofile_binding_for_private_channel,注册 styling_advisor 或设计私域内容生成链,styling_advisor 必挂 sales_associate，私域内容含真实导购体感，转化打通,Persona 不挂 sales_associate，私域内容像 KOL，导购体感缺失 → 转化失败,纯品牌官号公域不强制；非导购私域按对应 RoleProfile 挂接,domain_general,KP-service_judgment-private-outlet-needs-sales-associate-base
RL-KP-training_unit-founder-profile-brand-unique-layer,object_layer_binding,为品牌注册 Persona 体系或决定 FounderProfile 归位,FounderProfile 仅服务 founder_ip，通用 Persona 池保持可复用且互不污染,FounderProfile 被当通用 Persona，founder 口吻渗入其他内容，品牌真实性破坏,无创始人文化品牌走柔性使用，不强填不更名,domain_general,KP-training_unit-founder-profile-brand-unique-layer
RL-KP-training_unit-founder-profile-soft-use-no-rename,founder_profile_enablement_decision,多品牌建模或新品牌入场 FounderProfile 启用裁决,对象命名冻结，按 enablement_flag 开关启用，多品牌池干净,为照顾差异化品牌派生命名，对象池污染，伪问题被回避,display_name 可本地化但 object_type 不变；多创始人合伙暂按 0 份,domain_general,KP-training_unit-founder-profile-soft-use-no-rename
RL-KP-training_unit-persona-vs-roleprofile-layering,persona_count_governance,冷启动阶段决定通用 Persona 数量或收到扩 Persona 需求,Persona ≤3 稳定可复用，新岗位走 RoleProfile，调用入口稳定,Persona 池膨胀且每套缺岗位底座，内容空心 + 调用碎片化,成熟期可扩，但需同步配齐 RoleProfile 才能上线,domain_general,KP-training_unit-persona-vs-roleprofile-layering
RL-KP-training_unit-roleprofile-not-speaking-shell,persona_roleprofile_call_chain,设计内容生成 Prompt 链或评估人设真实感,Persona 调用 RoleProfile，内容既有人设辨识度又有岗位真实感,RoleProfile 直接对外或 Persona 悬空，内容失真或像通用 KOL,纯品牌叙事走 FounderProfile 链路；纯参数文案不走该路径,domain_general,KP-training_unit-roleprofile-not-speaking-shell
RL-KP-product_attribute-persona-six-field-shell,persona_field_shell_enforcement,Persona 字典建设或维护时,6 字段壳一致下游 Prompt 直接消费,自行扩字段→下游模板对不上字段名内容跳变,新字段→走字典升级；role_type 多值争议→进 Pending,domain_general,KP-product_attribute-persona-six-field-shell
RL-KP-product_attribute-persona-field-fill-state,persona_field_maturity_classification,字段值更新或下游消费前,frozen 直用 candidate 挂池 pending 给降级提示,字段裸奔进 Prompt→事后无法溯源问题源,多 Q 承接→多挂不掩盖；最小集与候选池并存→保持 candidate,domain_general,KP-product_attribute-persona-field-fill-state
RL-KP-product_attribute-compatible-with-edge-properties,relation_edge_property_specification,Persona × ContentType 兼容边创建或调档时,三属性齐全派生引擎可无歧义计算展示档,缺 reason→后期调档断链,新档→走升级提案；细化→扩 properties_json 子字段,domain_general,KP-product_attribute-compatible-with-edge-properties
RL-KP-service_judgment-platform-derivation-not-source,relation_source_vs_derivation_judgment,Persona/ContentType × Platform 关系提案出现时,拒绝立真源走派生公式 Schema 不膨胀,为查得到而立边→54 边膨胀为 540 与 Q3 tier 重复维护,性能问题→物化视图；想用统称→描述性术语不立实体,domain_general,KP-service_judgment-platform-derivation-not-source
RL-KP-service_judgment-frontline-cover-public-and-private,frontline_channel_coverage_enforcement,styling_advisor/store_operator 主导的内容线进派生视图时,公域+私域同时命中输出双清单门店转化路径完整,只做公域不做私域→最贴近成交的渠道缺内容门店转化掉队,私域未接通→标覆盖不全；不适合私域→人工豁免记录原因,domain_general,KP-service_judgment-frontline-cover-public-and-private
RL-KP-service_judgment-derivation-formula-eight-row,derivation_formula_application,三元组 (Persona ContentType Platform/Channel) 进派生时,8 行查表无歧义档位全链路对齐,临时加第 5 档→公式分支爆炸下游对不上,新 tier→扩公式行；过渡档→走豁免清单不污染表,domain_general,KP-service_judgment-derivation-formula-eight-row
RL-KP-training_unit-store-manager-rhythm-first,store_rhythm_diagnosis,店长开店前/高峰前/闭店复盘四看场景,按货场主次→店员站位→顾客停顿→后场接力四步走完先稳节奏再谈成交团队站位与主次到位当日成交无需救火,先看哪件衣服漂亮或先冲销量不稳团队弱信号被忽略直到顾客流失或新人话术失手才反应,新店7天内站位与主次未稳→第1-2步用首批SOP兜底；早场顾客极少→第3步降级为主动观察1-2个停顿,domain_general,KP-training_unit-store-manager-rhythm-first
RL-KP-training_unit-warehouse-supervisor-fact-not-promise,inventory_promise_discipline,前台对顾客做出库存承诺/调货答复/替代款/成套搭配推荐前,仓库主管对4类乱推立刻回拒并复盘前场承诺与后场事实对齐顾客无落差复购信任建立,凭印象承诺断码当齐码替代当同款调货未确认成套与货况脱节→退货+差评+信任流失,顾客愿等且接受待确认→走预售/到货通知；替代款气质差距过大→走inventory_rescue不可救场景,domain_general,KP-training_unit-warehouse-supervisor-fact-not-promise
RL-KP-training_unit-designer-locate-defect-source,garment_defect_root_cause_locate,样衣评估/版型初判/修改建议会议/新人设计稿评审,先按版型/面料/细节三选一定位问题来源一次改版到位1.0/2.0/3.0版本对照可见迭代逻辑,不定位直接改→改了细节其实是版型问题→反复改版仍不成立浪费打样资源错过上新窗口,三层都有问题且修改成本过高→走砍掉方案；设计逻辑与商品逻辑冲突无法调和→升级design_director裁决,domain_general,KP-training_unit-designer-locate-defect-source
RL-KP-training_unit-sample-worker-rework-as-judgment,rework_as_quality_judgment,打样/裁剪/缝制/返工/设计要求转工序动作,识别工艺风险点定位高失败概率工序预判质感风险返工区分补表面vs补根因正确/失败线迹对照库形成,只追求完成不追求质感/只看图不看工艺单/返工只补表面/以为快=熟练→量产同问题复发质感掉档,设计图工艺无法落地→反推designer修改设计稿；工艺风险已知但本批必须出货→转告design_director决定降标或推迟,domain_general,KP-training_unit-sample-worker-rework-as-judgment
RL-KP-training_unit-merch-director-stylable-not-sellable,stylable_vs_sellable_diagnosis,上新节奏排期/货品结构判断/爆款补深决策/搭配组合提案/门店反馈联动复盘,单套搭配同时挂上货品结构+价位+连带+体感+门店承接5个维度整体动销与连带率提升,搭配出片好看但只走1-2件主推结构未挂上→模特出片成立但货品端连带断裂滞销库存累积,设计端坚持单套出片优先→走design_director裁决；门店反馈与商品逻辑冲突无法调和→进needs_review专题复盘,domain_general,KP-training_unit-merch-director-stylable-not-sellable
RL-KP-inventory_rescue-customer-priority-six-axes,customer_substitution_priority,soft_substitute 后排序候选替代款,先满足能用再满足像顾客接受度高,推像但穿不上或场合不符的顾客试穿退或回家退,Lv1 全淘汰→redirect；只剩低级匹配→改打利用率卖点；顾客锚色→按锚点重排但不跳 Lv1,domain_general,KP-inventory_rescue-customer-priority-six-axes
RL-KP-inventory_rescue-display-priority-five-axes,display_substitution_priority,陈列原方案某件断货需要替换,画面与深度同时成立连带浏览稳定,只追主题→单码顶主推；只追深度→陈列像仓库,Lv1 都不过→整组主题重写；Lv4 严重不足→降级单元；Lv5 破调→独立小区位,domain_general,KP-inventory_rescue-display-priority-five-axes
RL-KP-inventory_rescue-hard-block-five-conditions,hard_block_gating,任意推荐/陈列/接客/内容动作落地前,命中即停顾客感到门店在替我把关复购信任建立,用话术绕过硬条件试穿/到场后流失或差评,H2→重同步后再决策；H1/H4 顾客愿等→预留+到货通知；H3→拆单品并明示；H5→直接 give_up,domain_general,KP-inventory_rescue-hard-block-five-conditions
RL-KP-inventory_rescue-match-result-output-shape,inventory_match_result_contract,任意 inventory_match runtime 输出,8 字段齐全四下游链路无歧义消费事故可归因,自由式或缺字段下游硬猜误动作事故难追,字段无法计算→填 unknown 不跳；字段冲突→以 hard_block_reason 为准；新字段→走升级提案,domain_general,KP-inventory_rescue-match-result-output-shape
RL-KP-inventory_rescue-shallow-vs-deep-sensing,inventory_sensing_layering,库存事实进入推荐/陈列/接客/培训四链路,下游动作挂深感知前线动作精准浅感知保留过滤兜底,下游裸跑浅感知断码上主推单码上主陈列救场误判 give_up,深字段缺失→默认保守兜底；last_sync 过期→直接 hard_block；系统/现场冲突→现场为准并触发同步,domain_general,KP-inventory_rescue-shallow-vs-deep-sensing
RL-KP-inventory_rescue-soft-substitute-four-paths,soft_substitute_path_selection,已过 hard_block 且原款关键属性缺失,按 4 路径择优替代且明示替代逻辑顾客接受成交,把替代款说成差不多就是这个顾客试穿后退或差评,4 路径全失败→redirect 或 give_up；R3 廓形价带不达标→降低质量；R4 多件配件断→退 R3 或单品,domain_general,KP-inventory_rescue-soft-substitute-four-paths
RL-KP-inventory_rescue-state-catalog-six-states,inventory_state_classification,任一 SKU 进入推荐/陈列/接客判断前,6 状态查表得到具体推荐/陈列/替代/话术 4 件套门店动作精准,把有货当布尔值用断码当主推顾客试穿后流失,同时落 2 类→取更严；6 状态无法覆盖→走 last_sync 过期硬拦截,domain_general,KP-inventory_rescue-state-catalog-six-states
RL-KP-inventory_rescue-three-sentence-discipline,rescue_three_sentence_protocol,接客遇到库存缺口,三句话顺序+三禁全守复购信任建立,先夸后断/替代说成原款/硬塞不合适当单成交但复购崩,顾客赶时间→压缩但不省事实；跨店调拨→扩展兜底；顾客自决→跳第二句,domain_general,KP-inventory_rescue-three-sentence-discipline
RL-KP-product_attribute-persona-three-shell-coverage,persona_three_shell_coverage_check,冷启动阶段确定通用 Persona 集合或评估某类内容是否有承接,三套覆盖三类视角无空洞，新内容能映射到三套之一,少于三套→视角缺位；多于三套→调用碎片化,FounderProfile 不计入；扩 Persona 须同步配齐 RoleProfile,domain_general,KP-product_attribute-persona-three-shell-coverage
RL-KP-product_attribute-persona-shell-not-equal-role,persona_shell_vs_role_distinction,通用 Persona 字段填值或 Prompt 模板设计,Persona 填视角口吻锚点，岗位动作通过 RoleProfile 注入，多岗位共同支撑同一 Persona,Persona 退化为单岗位声音，其他挂接岗位失去承接面，RoleProfile 价值被吃掉,FounderProfile 不适用此解耦；过渡期单挂 RoleProfile 的 Persona 仍按壳填值,domain_general,KP-product_attribute-persona-shell-not-equal-role
RL-KP-training_unit-persona-anti-pattern-checklist,persona_anti_pattern_checklist,Persona 内容出口校验或 Prompt 模板上线,命中反模式即打回真实性纹理被保留,只过字段壳不过反模式 Persona 退化为假人设私域失效,FounderProfile 另行更严反模式；不同 Persona 反模式权重可调,domain_general,KP-training_unit-persona-anti-pattern-checklist
RL-KP-training_unit-collect-real-action-before-script,material_collection_policy,启动 RoleProfile 冷启动素材采集 / 岗位访谈大纲设计,按 6 阶段顺序采集，落到 authenticity_anchors / typical_scenarios / emotional_spectrum 至少两类,先收口号后补动作，材料只剩漂亮总结句，人设被识破为模板,FounderProfile 价值主张采集与合规类 SOP 整理不强套此顺序,domain_general,KP-training_unit-collect-real-action-before-script
RL-KP-training_unit-evidence-shape-four-types,evidence_tagging_policy,任意岗位素材进入素材库 / RoleProfile 字段回填,每条素材都打上四类标签之一并指向具体制品，审计可溯源,素材只剩转述总结，无证据形态标签，被一线追问无法溯源,纯元规则文档与 FounderProfile 价值主张可放宽物证要求，但仍需明示形态,domain_general,KP-training_unit-evidence-shape-four-types
RL-KP-training_unit-collect-failure-not-only-success,anti_ai_flavor_collection_policy,RoleProfile 冷启动素材采集 / 访谈大纲设计 / 素材库验收,5 类负面问题必采 + 负面配额达标，authenticity_anchors 与 emotional_spectrum 落地,只收成功案例与标准答案，人设带 AI 味，被一线识破,合规法律 SOP 不强配额；FounderProfile 创始人困境建议但不强配额,domain_general,KP-training_unit-collect-failure-not-only-success
RL-KP-training_unit-role-material-five-kinds-minimum,role_material_completeness_gate,任意 RoleProfile 冷启动素材验收 / 种子数据准备门禁,5 类必备齐全 + 3 硬证据，岗位画像各字段全部可回填,缺类或缺硬证据，RoleProfile 字段出现空白或空泛，人设不完整,FounderProfile 不套用；成熟岗位补丁不强凑 5 类；缺类标 partial 不得跳过,domain_general,KP-training_unit-role-material-five-kinds-minimum
RL-KP-training_unit-cold-start-role-priority-frontline,cold_start_sequencing_policy,首批 7 岗 RoleProfile 冷启动素材采集排程,P0 四岗 5/3 双门槛达标后再进 P1，三套 Persona 真实底座到位,高层岗先做导致一线缺位，Persona 真实感字段填不出，生成被识破,扩岗与 FounderProfile 不套此排程；P0 短缺资源时同岗补缺不许跳岗,domain_general,KP-training_unit-cold-start-role-priority-frontline
RL-KP-product_attribute-engine-card-vs-play-card-shell,card_shell_layer_enforcement,新增内容技法或升级候选引擎时,引擎卡被多张玩法卡按编号引用字段稳定下游可两步解码,壳互塞导致跨 CT 复述漂移或共享层被单 CT 内容污染,尚未卡片化的跨 CT 技法走候选引擎登记；双引擎融合仍是玩法卡壳,domain_general,KP-product_attribute-engine-card-vs-play-card-shell
RL-KP-product_attribute-play-card-scenario-tag-three-values,play_card_scenario_tag_classification,玩法卡落盘或按业务任务筛选时,引流任务命中拉新玩法接客任务命中留存玩法员工型全标 customer_service,不分 scenario 混池 → 引流推接客玩法或接客推引流玩法,兼容玩法标 both；新增取值走共享层升级流程不许单 CT 发明,domain_general,KP-product_attribute-play-card-scenario-tag-three-values
RL-KP-product_attribute-play-card-tier-three-values,play_card_tier_classification,玩法卡落盘或 Prompt 调用池筛选时,默认池仅 instant+long_term；brand_tier 仅在品牌模式调用,三档混池 → 中小创作者拍不出 / 品牌方方案过小气,一个创意两版本 → 拆两张卡；多维度突破 → 优先 brand_tier,domain_general,KP-product_attribute-play-card-tier-three-values
RL-KP-product_attribute-storyboard-30s-dual-decoding,storyboard_field_dual_decoding,AI 读写玩法卡 30 秒分镜参考字段时,按 output_format 自动选解析器跨 CT 字段名稳定,为文案型建新字段或文案按视频分镜读 → schema 漂移或荒谬产物,C1 占位符不分叉；新增第三种 mode 走共享层升级,domain_general,KP-product_attribute-storyboard-30s-dual-decoding
RL-KP-product_attribute-troop-facing-register-five-fields,troop_facing_register_decoding,ContentType.audience_register = troop_facing 时 5 字段解码,5 字段读为对内训练语义新增内部 CT 直接套用,不分受众默认消费者向 → 培训 SOP 被读成消费者钩子员工拿到的内容用不上,混合受众拆两 CT；新增第三种受众走共享层升级,domain_general,KP-product_attribute-troop-facing-register-five-fields
RL-KP-training_unit-ai-tone-banned-list-veto,ai_tone_banned_list_veto,任意 CT 在 AI 生成草稿落盘前,命中即拒所有 CT 共用同一份黑名单 AI slop 早闸拦截,清单单 CT 复制漂移 / 命中后被后处理修补上线 → 跨 CT 出现同款 AI 句式信任崩塌,豁免走共享层提案；新句式补入共享层清单不在单 CT 私自禁用,domain_general,KP-training_unit-ai-tone-banned-list-veto
RL-KP-training_unit-engine-vs-play-by-cross-ct-test,engine_vs_play_cross_ct_test,新增技法或候选引擎升级裁决,共享层装真·跨 CT 引擎玩法库装 CT 独有玩法层级清晰,独有玩法升共享层 → 共享层污染矩阵覆盖率虚高；或跨 CT 引擎留 CT 内 → 重复发明版本漂移,理论可跨但仅 1 CT 应用 → 进 §I 候选；原理段需重写 → 拆两条,domain_general,KP-training_unit-engine-vs-play-by-cross-ct-test
RL-KP-training_unit-grounding-over-polish-default,grounding_over_polish_default_routing,AI 主导生成内容时的玩法选择与元素组合,输出贴近真实质感，观众感到人创作非 AI 套模板,默认推 C1 → 一眼 AI 味进入 56% AI slop 嫌弃池信任崩塌,用户显式选 polished 时走 brand_tier 分级；趋势变化走共享层升级,domain_general,KP-training_unit-grounding-over-polish-default
RL-KP-training_unit-shared-layer-registration-not-rewrite,shared_layer_registration_only,共享层升级动作（新增引擎 / 扩大回写 / 候选升级）,共享层只追加登记单 CT byte-identical 跨升级溯源清晰,顺手优化玩法卡正文 → 跨多版本后玩法卡内容漂移与外部引用对不上版本回滚成本极高,正文确需修 → 拆两步分两个版本号；不允许同一次提交完成,domain_general,KP-training_unit-shared-layer-registration-not-rewrite
RL-KP-training_unit-enterprise-narrative-anti-ai-tone,anti_ai_tone_review,6 类企业叙事内容（founder_ip / role_work_vlog / event_documentary / product_journey / process_trace / behind_the_scenes）的所有稿件,"稿件落到""决策现场 / 物件证据 / 自我矛盾 / 救场过程 / 边角劳动""等进阶或突破档位；AI 难以零成本仿写；观众有""看见这个人 / 这件事 / 这件衣服""的感觉","稿件本质是""老板坐在办公室对着镜头讲道理""或""老板的一天流水账""或""工厂走一遍配解说""——观众接收到的是结论而非这个人，AI 工具一晚能批量仿出 100 条","命中烂玩法但选题本身有价值 → 加入""具体物件 / 真实代价 / 自我矛盾""中至少一种再发布；创作者条件无法支撑进阶档 → 降到""边角劳动 / 物件特写 / 沉默叙事""等低成本突破玩法",domain_general,KP-training_unit-enterprise-narrative-anti-ai-tone
RL-KP-training_unit-enterprise-narrative-object-witness-over-talking-head,object_first_narrative,"6 类企业叙事的""进阶 / 突破""档；尤其适合 founder_ip / process_trace / behind_the_scenes / product_journey","物件成为""证物 / 错误档案 / 决策对象""；观众从物件细节自动拼出品牌气质与人物性格；AI 难以零成本仿写","物件只是道具背景，人脸口播仍然占主体；或物件被强行""配解说""，观众接收到的还是结论而非现场","找不到合适物件 → 改用""沉默叙事 / ASMR 感官沉浸 / 一镜到底""等同档替代手法（同样是物件 / 声音 / 时间承担叙事）；物件叙事仍嫌单薄 → 叠加""自我矛盾暴露""或""前台后台并置""提升戏剧密度",domain_general,KP-training_unit-enterprise-narrative-object-witness-over-talking-head
RL-KP-training_unit-enterprise-narrative-north-star-first,north_star_first_briefing,6 类企业叙事内容立项；任何品牌、任何门店级别均适用,北极星具体可观测；选题、玩法档位、镜头清单全部围绕北极星反推；成稿后能用北极星做收口验收,"北极星缺位或写成 KPI / 泛话 → 拍出来的内容指向不明，团队各自带着不同理解开拍，观众接收到混合信号；常见症状是""看着不错但说不清想干嘛""",北极星反复写不出具体心理状态 → 选题本身可能不是企业叙事而是商品文案，转去对应字段壳；北极星写出但与品牌长期心智冲突 → 升级到品牌主张层裁决，不在内容运营单点决定,domain_general,KP-training_unit-enterprise-narrative-north-star-first
RL-clothing-as-emotional-medium-stance,schema_meta_rule,全部 ContentType（含 5 类通用 + 18 类交付物层）,"同一件单品在不同 ContentType 中以不同角色出场（测评中是""动作伙伴""、情绪表达中是""防御层""、门店日常中是""被照料的对象""），内容富有层次",全平台所有 ContentType 都把衣服当 SKU（参数+价格+折扣），产出与电商详情页无异，无品牌人格沉淀,多 role 组合（一条内容同时承载 emotional_carrier + sensory_experience）；默认主 role + 副 role 的双标注,domain_general,KP-product_attribute-clothing-as-emotional-medium-stance
RL-content-type-three-tier-maturity,schema_meta_rule,5 类通用 ContentType + Q2 18 类交付物层 ContentType,"平台对每类内容都能识别出""哪条是模板饱和""与""哪条是突破方向""，避免误把饱和模板当作可调用素材",仅维护一档（多半是已饱和的主流玩法）→ 生成结果与市场一致同质化，AI 反向放大模板饱和,tier 命名采用中文对照：已饱和 / 进阶 / 突破；在 9 表 value_set 中冻结三档，禁止新增第四档,domain_general,KP-product_attribute-content-type-three-tier-maturity
RL-concrete-action-over-adjective,language_rewrite_rule,服装 5 类通用 ContentType 的卖点 / 测评结论 / 培训点 / 情绪载体,"文案 / 测评由""显瘦""改为""坐一下午不偷偷扯腰头""、由""舒服""改为""抬手时肩线不拽""，观众在脑内完成""使用预演""，购买决策从审美投票转为身体投票","一连串""高级感/松弛感/氛围感/百搭""出口即写，观众识别为模板，且任意竞品可替换","抽象形容词 → 具体动作（坐 / 走 / 抬手 / 弯腰 / 出汗 / 逆光）；抽象形容词 → 具体场景时刻（早高峰扶杆 / 会议冷气 / 午餐溅汁 / 晚归丢椅背）；抽象形容词 → 触感比喻（""像穿松三年的旧 T 恤那种软""）",domain_general,KP-training_unit-concrete-action-over-adjective
RL-content-template-saturation-anti-pattern,anti_pattern_filter,任何 5 类通用 ContentType 的内容生成调用,"生成内容跳出形容词堆砌与同质模板，落地为具体动作/具体场景/具体身体感受/具体顾虑解除，使观众相信""这条不是 AI 批量""","直接套""显瘦/百搭/高级感+姐妹冲""或""开箱-上身-一句结论""模板生成，产出在第一秒就被识别为模板，观众默认""假，没真穿""，账号差异化归零","平台内置""已被用烂""识别清单 + 进阶/突破玩法库，按 ContentType 分别索引；当请求落入反模式时返回""该写法已饱和，建议改用：[体感测评/打包即内容/感官动词/微测验/沉默叙事]""",domain_general,KP-training_unit-content-template-saturation-anti-pattern
RL-kuleshov-context-driven-emotion-edit,editing_structure_rule,"emotion_expression 类内容 / product_review 中""同一件衣服三种结局""扩展","同一张脸经三组情境 B-roll 被读出三种情绪，观众在投射中体认""自己也被情境推着走""，共鸣深；内容更难被 AI 单镜头模板复刻",主角对镜哭诉 / 伤感 BGM + 大字金句，观众识别为表演式情绪，疲劳率高,中性脸 + 三组 B-roll；衣柜情绪谱（不露脸只拍衣物与手）；同一动作三种情境（地铁 / 雨天 / 办公室）,domain_general,KP-training_unit-kuleshov-context-driven-emotion-edit
RL-objection-clearing-over-selling-points,content_structure_rule,服装高决策品类内容；测评 / 详情页 / 异议处理 / 班前微教练,"内容由""快买""变""我帮你看你最怕的那几件事""；观众感到""你在替我思考""，信任建立后再产生转化","首屏全是 USP 自夸+折扣，用户跳出率高；导购把""显瘦/不会显胯""作为第一句回应，反而触发心理防御","反向命令式开头（""你可能不需要第二件黑外套，除非……""）；反对意见清单 + 实拍证据（怕透/怕显胯/怕扎三件套配 6 秒动图）；拔草型测评（先讲不适合谁，再讲替代方案）",domain_general,KP-training_unit-objection-clearing-over-selling-points
RL-relational-witness-over-monologue,structure_choice_rule,测评 / 情绪表达 / 门店日常；尤其需要建立信任 / 真实感的内容,"单条内容因为关系真实动作（妈妈帮翻后领、同事摘工牌、伴侣披外套）形成""被看见""的体验，观众投射性高，转发收藏率高",主角对镜怼脸自我独白 + 大字金句，观众识别为模板情绪表演，疲劳率高,双人同框 / 画外音吐槽；关系映照（家人/同事/伴侣的小动作）；门店作为关系见证者（不拍脸只拍关系碎片）,domain_general,KP-training_unit-relational-witness-over-monologue
RL-silence-as-pattern-interrupt,format_choice_rule,任意 5 类通用 ContentType；尤其触感测评、门店打包、SOP 演示、情绪表达,"生成内容靠衣架声/布料声/拉链声/环境音/留白排版建立信任与浸入，观众完成""自己脑补情绪""的过程，差异化锐利",默认套热门 BGM + 大字金句 + 快剪 7 秒卡点，产出在饱和模板中被淹没，观众滑过,沉默+环境音；极少字幕（关键字 1-2 字）；白空间排版 + 一句短文案,domain_general,KP-training_unit-silence-as-pattern-interrupt
RL-tactile-cue-language-online-compensation,content_module_rule,服装详情页 / 海报 / 测评视频 / 培训中的面料章节,"观众脑内完成""试穿模拟""，对面料 / 工艺差异有具体感知，文案不再依赖""软""""舒适""等抽象形容词","详情页只用""高品质面料""标签 + 白底主图，没有任何触感证据，观众无法判断面料差异，决策卡死",触感比喻文案（旧 T / 第二层肌肤）；触觉暗示视觉（特写 + 慢动作）；物体声 ASMR（布料 / 拉链 / 扣子）,domain_general,KP-training_unit-tactile-cue-language-online-compensation
RL-KP-product_attribute-content-type-north-star-behind-scenes,content_type_north_star_anchor,新增 BTS 玩法卡或审核一条 BTS 内容时,玩法呈现完成成本 / 翻车 / 边角物件 / 声纹 → 进 C2/C3,只剩搞笑 NG / 流水线 ASMR / 正片预热 → 主流默认禁用,同动作在 event_documentary vs BTS 间按叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-behind-scenes
RL-KP-product_attribute-content-type-north-star-daily-fragment,content_type_north_star_anchor,新增 daily_fragment 玩法卡或审核碎片内容时,碎片有隐形线索（季节/体感/声音/时间）→ 进 C2/C3,纯审美打卡 + 无选择逻辑 → 主流禁用,与 personal_vlog 边界 = 不连续 vs 连续,domain_general,KP-product_attribute-content-type-north-star-daily-fragment
RL-KP-product_attribute-content-type-north-star-outfit-of-the-day,content_type_north_star_anchor,新增 OOTD 玩法卡或审核 OOTD 内容时,玩法呈现路线/身份/时间/情绪叙事 → C3 突破,镜前转圈+SKU 清单/卡点变装/空词 → 主流禁用+红线,与 product_review 重心区分；与 personal_vlog C3-1 边界延后,domain_general,KP-product_attribute-content-type-north-star-outfit-of-the-day
RL-KP-product_attribute-content-type-north-star-personal-vlog,content_type_north_star_anchor,新增 personal_vlog 玩法卡或审核 vlog 内容时,玩法有连续感+真实波动+微脆弱 → 进 C2/C3,流水账+通用漂亮模板 → 主流禁用；无连续感 → 应归 daily_fragment,不露脸不等于 daily_fragment——区分点是连续性,domain_general,KP-product_attribute-content-type-north-star-personal-vlog
RL-KP-product_attribute-content-type-north-star-role-work-vlog,content_type_north_star_anchor,新增 role_work_vlog 玩法卡或审核岗位 vlog 时,玩法呈现手部+短句判断+失误证物+岗位接力 → 进 C2/C3,可爱员工人设/培训话术/流水账 → 主流禁用,老板兼岗位按叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-role-work-vlog
RL-KP-service_judgment-store-daily-three-required-elements,content_type_routing_gate,门店相关内容判型时,三轴中≥2 命中 → 归 store_daily,≤1 命中却强归 store_daily → 与 personal_vlog/daily_fragment 玩法库污染,老板出镜按叙事重心二选一（store vs founder_ip）,domain_general,KP-service_judgment-store-daily-three-required-elements
RL-KP-training_unit-emotion-expression-9-ai-tone-banlist,ai_tone_banlist_one_strike,情绪敏感 CT 内容生成或发布前校验,命中即重写 AI 腔被拦截画面/地点/物件锚点齐全,微调绕开 → 观众当场划走情绪资产长期受损,命中但必须表达 → 拆解为具体情境重写不许在原模板改字,domain_general,KP-training_unit-emotion-expression-9-ai-tone-banlist
RL-KP-training_unit-emotion-expression-truth-3-questions-prepublish,pre_publish_truth_validation,emotion_expression C2/C3 玩法卡发布前最后一道校验,三锚点齐全发布观众接住被看见,任一锚点答不仍发布 → 滑向构思情绪剧本资产被污染,答不且无法补真实锚点 → 降级到 humor_content/lifestyle_expression/daily_fragment 或剔除,domain_general,KP-training_unit-emotion-expression-truth-3-questions-prepublish
RL-KP-training_unit-event-documentary-failure-perspective,failure_perspective_breakthrough_play,event_documentary C3 档；事件存在真实失败/低谷瞬间,真实困难展示观众接住扛过的信任沉淀,圆满落幕模板包装 → 流水账观众被流带走信任不沉淀,无失败强凑 → 违 §E 红线；涉第三方 → 转 C3-1 紧张感叙事,domain_general,KP-training_unit-event-documentary-failure-perspective
RL-KP-product_attribute-content-type-north-star-founder-ip,content_type_north_star_anchor,新增 founder_ip 玩法卡或审核一条创始人内容时,玩法呈现具体决策/失败样衣/代价显形/判断证据链 → 进 C2/C3,玩法落到鸡汤口播/流水账/成功拼贴/工厂巡视/对镜穿搭 → C1 强默认禁用,与 role_work_vlog 按第一叙事重心二选一,domain_general,KP-product_attribute-content-type-north-star-founder-ip
RL-KP-product_attribute-content-type-north-star-knowledge-sharing,content_type_north_star_anchor,新增 KS 玩法卡或审核一条 KS 内容时,玩法有现场证据+为什么是你（先讲人生 / 桌面实验 / 错误倒叙 / 听诊器 / 动作证明）→ 进 C2/C3,站桩 3 点 / PPT 大字报 / '99%的人不知道'耸动 → 主流默认禁用,与 training_material 边界延后边界矩阵处理,domain_general,KP-product_attribute-content-type-north-star-knowledge-sharing
